0,19.8,130,123,144,136,118,171,183,181,150,174,172,40.3,51.8,45.6,311,360,308,11.6,101,256
19.8,0,146,141,161,154,142,158,204,197,168,158,155,43.2,51.4,29.5,309,344,279,13.4,99,254
130,146,0,60,66,7,39.6,50.3,111,115,89.3,275,277,124,118,180,422,466,429,138,209,364
123,141,60,0,171,63.7,90,74.6,166,159,32.2,270,268,128,108,174,401,456,391,128,168,346
144,161,66,171,0,70.4,30.2,107,56.4,54.4,147,302,300,148,131,206,438,456,358,157,224,381
136,154,7,63.7,70.4,0,44.6,54.5,116,119,94.9,284,281,142,122,188,428,469,404,148,182,359
118,142,39.6,90,30.2,44.6,0,80.2,79.2,77.2,124,269,267,128,105,168,413,455,403,133,208,358
171,158,50.3,74.6,107,54.5,80.2,0,156,148,61.7,291,318,165,155,222,439,506,487,149,192,375
183,204,111,166,56.4,116,79.2,156,0,43.8,191,328,330,182,172,237,474,523,479,196,266,422
181,197,115,159,54.4,119,77.2,148,43.8,0,183,326,328,174,164,230,472,516,479,188,259,414
150,168,89.3,32.2,147,94.9,124,61.7,191,183,0,300,298,158,139,193,470,486,421,158,164,376
174,158,275,270,302,284,269,291,328,326,300,0,43.6,151,162,169,384,194,163,168,261,396
172,155,277,268,300,281,267,318,330,328,298,43.6,0,153,164,171,437,212,162,170,263,393
40.3,43.2,124,128,148,142,128,165,182,174,158,151,153,0,11,65.4,331,347,282,50,176,281
51.8,51.4,118,108,131,122,105,155,172,164,139,162,164,11,0,66.2,343,352,316,51,130,285
45.6,29.5,180,174,206,188,168,222,237,230,193,169,171,65.4,66.2,0,283,325,291,48,124,240
311,309,422,401,438,428,413,439,474,472,470,384,437,331,343,283,0,329,480,309,265,151
360,344,466,456,456,469,455,506,523,516,486,194,212,347,352,325,329,0,178,359,444,472
308,279,429,391,358,404,403,487,479,479,421,163,162,282,316,291,480,178,0,322,415,517
11.6,13.4,138,128,157,148,133,149,196,188,158,168,170,50,51,48,309,359,322,0,109,253
101,99,209,168,224,182,208,192,266,259,164,261,263,176,130,124,265,444,415,109,0,183
256,254,364,346,381,359,358,375,422,414,376,396,393,281,285,240,151,472,517,253,183,0